name,ult_org,score
Williams Cos Inc.,Williams Kherkher,0.9189266850315528
North American Tungsten Corp Ltd,North American Midway Entertainment,0.9180425230873338
First Niagara Financial Group Inc,First National of Nebraska,0.917581535210974
Childrens Place Inc,Children's Museum of Philadelphia,0.9174452735323213
Universal American Corp,Universal Bearing,0.9172862107786764
Cleveland-Cliffs Inc,Cleveland Clinic,0.9171237778953554
PacificNet Inc,Pacific Rim Environmental Resources,0.9144017900302102
Equitable Group Inc,Equitable Resources,0.9143222524257816
Zilog Inc,Wilkes Corp,0.9140118502921989
Geneva Financial Corp,"Genesee County, MI",0.9106114420426716
Park City Group Inc,"Park City, UT",0.9103082165801776
Hillsborough Resources Ltd,"Hillsborough County, FL",0.9098531345084439
PacificNet Inc,Pacific Mutual Holding,0.9089288148646203
Royal Group Technologies Ltd,Royal Ahold,0.908731382730439
Advanced Fiber Technologies (AFT) Income Fund,Advanced Integrated Management Services,0.9084493493653459
Cherokee International Corp,Cherokee Nation of Oklahoma,0.9075663195480538
St Joseph Capital Corp,St Joseph's Hospital,0.9069015633623108
Susquehanna Media Co,Susquehanna Pfaltzgraff,0.9067883339128495
Dominion Resources Black Warrior Trust,Dominion Resources,0.9063065485175712
Southeastern Bank Financial Corp,Southeastern Colorado Water Conservancy,0.9053635085822272
Florida Gaming Corp,Florida Sugar Cane League,0.9048894093404742
National Rural Utilities Cooperative Finance Corp,National Auto Dealers Assn,0.9041083100911625
Barclays Africa Group Ltd,Barclays Private Equity,0.9033594726815243
Black & Decker Corp,Black Television News Network,0.9023886979974978
Express Scripts Holding Co,Express Trak,0.9022927269203334
Quest Energy Partners LP,Quest Integrated,0.9013987707634588
Zions Bancorporation,Zions Bancorp,0.9011207880408598
American Physicians Capital Inc,American Physical Therapy Assn,0.9001895862030522
Roche Holding AG,Roche Holdings,0.972357097894264
American Financial Group Inc,American Financial Services Assn,0.9683077506428525
San Diego Gas & Electric Co,San Diego State University,0.9652030392296265
Spectrum Brands Holdings Inc,Spectrum Brands,0.9626381053587193
Williams Cos Inc.,Williams-Pyro Inc,0.9626126233361064
Peoples Bancorp Inc,People's Republic of Bangladesh,0.9617994287014001
Electronic Game Card Inc,Electronic Warfare Assoc,0.9597400816904935
PNC Financial Services Group Inc.,PNC Financial Services,0.9564887668708365
